132, -1
133, -1
134, -1
135, -1
136, -1
137, -1
138, 0
139, -1
140, -1
141, -1
142, -1
143, 0
144, -1
145, 0
146, 0
147, -1
148, -1
149, -1
150, -1
151, -1
152, 0
153, 0
154, -1
155, -1
156, 0
157, -1
158, -1
159, -1
160, 0
161, 0
162, -1
163, -1
164, -1
165, -1
166, 0
167, -1
168, -1
169, -1
170, -1
171, -1
172, 0
173, -1
174, -1
175, -1
176, -1
177, -1
178, 0
179, 0
180, 0
181, -1
182, -1
183, -1
184, -1
185, -1
186, -1
187, -1
188, 0
189, -1
190, 0
191, -1
192, -1
193, -1
194, -1
195, 0
196, -1
197, -1
198, 0
199, -1
200, -1
201, 0
202, 0
203, 0
204, 0
205, -1
206, -1
207, 0
208, -1
209, -1
210, 0
211, 0
212, -1
213, -1
214, 0
215, -1
216, 0
217, -1
218, -1
219, -1
220, -1
221, -1
222, -1
223, -1
224, -1
225, -1
226, 0
227, -1
228, -1
229, 0
230, 0
231, -1
232, -1
233, -1
234, -1
235, 0
236, -1
237, -1
238, 0
239, -1
240, -1
241, 0
242, 0
243, -1
244, -1
245, -1
246, -1
247, -1
248, 0
249, 0
250, -1
251, -1
252, -1
253, 0
254, -1
255, 0
256, 0
257, -1
258, -1
259, -1
260, -1
261, -1
262, -1
263, -1
264, -1
265, -1
266, -1
267, -1
268, -1
269, -1
270, -1
271, -1
272, -1
273, 0
274, -1
275, -1
276, -1
277, -1
278, 0
279, 0
280, -1
281, -1
282, -1
283, -1
284, -1
285, -1
286, -1
287, -1
288, 0
289, -1
290, -1
291, -1
292, -1
293, 0
294, 0
295, -1
296, -1
297, -1
298, -1
299, -1
300, -1
301, -1
302, -1
303, 0
304, -1
305, -1
306, -1
307, -1
308, 0
309, 0
310, -1
311, -1
312, -1
313, -1
314, -1
315, -1
316, -1
317, -1
318, 0
319, -1
320, -1
321, -1
322, -1
323, 0
324, 0
325, -1
326, -1
327, -1
328, -1
329, -1
330, -1
331, -1
332, -1
333, 0
334, -1
335, -1
336, -1
337, -1
338, 0
339, 0
340, -1
341, -1
342, -1
343, -1
344, -1
345, -1
346, -1
347, -1
348, 0
349, -1
350, -1
351, -1
352, -1
353, 0
354, 0
355, -1
356, -1
357, -1
358, -1
359, -1
360, -1
361, -1
362, -1
363, -1
364, -1
365, -1
366, -1
367, -1
368, -1
369, -1
370, -1
371, -1
372, -1
373, -1
